trial_id,order_id,target,pics,position,focus,prompt,sentence,category,ikemap,ikemas
68,105,凪,nagi.jpeg,phrase-medial,out-of-focus,カニさんは大きい凪を見ましたか？,いいえ、マサイさんが大きい凪を見ましたよ。,comparison,カニがどぅ　がばーなぎゅー　みーたいな？,あらん。マサイがどぅ　がばーなぎゅー　みーたいよ。
155,106,月,moon.jpeg,utt-initial,in-focus,何が池間の方に見えますか？,月が池間の方に見えますよ。,filler,なうぬどぅ　池間ん　みーらいゆ？,つっちゅぬどぅ　池間ん　みーらいゆーい。
39,107,芋,imo.jpeg,utt-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは芋を見ましたよ。,experiment,マサイや　なうゆどぅ　みーたいが？,マサイや　んーぬどぅ　みーたいよ。
91,108,藻,algae.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きい藻を見ましたよ。,comparison,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーむーゆどぅ　みーたいよ。
153,109,月,moon.jpeg,utt-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは月を見ましたよ。,filler,マサイや　なうゆどぅ　みーたいが？,マサイや　つっちゅーどぅ　みーたいよ。
12,110,蜘蛛,spider.jpeg,utt-initial,out-of-focus,蜘蛛が西村の方に見えますか？,いいえ、蜘蛛が池間の方に見えますよ。,experiment,ん°むぬどぅ　西村ん　みーらいゆーな？,あらん。ん°むぬどぅ　池間ん　みーらいゆーい。
82,111,おにぎり,onigiri.jpeg,utt-medial,out-of-focus,カニさんはおにぎりを見ましたか？,いいえ、マサイさんがおにぎりを見ましたよ。,comparison,カニがどぅ　ぬいゆ　みーたいな？,あらん。マサイがどぅ　ぬいゆ　みーたいよ。
156,112,月,moon.jpeg,utt-initial,out-of-focus,月が西村の方に見えますか？,いいえ、月が池間の方に見えますよ。,filler,つっちゅぬどぅ　西村ん　みーらいゆーな？,あらん。つっちゅぬどぅ　池間ん　みーらいゆーい。
137,113,目,eye.jpeg,utt-initial,in-focus,何が池間の方に見えますか？,目が池間の方に見えますよ。,filler,なうぬどぅ　池間ん　みーらいゆ？,みーぬどぅ　池間ん　みーらいゆーい。
4,114,雲,cloud.jpeg,utt-medial,out-of-focus,カニさんは雲を見ましたか？,いいえ、マサイさんが雲を見ましたよ。,experiment,カニがどぅ　ん°むー　みーたいな？,あらん。マサイがどぅ　ん°むー　みーたいよ。
65,115,苗,nae.jpeg,utt-initial,in-focus,何が池間の方に見えますか？,苗が池間の方に見えますよ。,comparison,なうぬどぅ　池間ん　みーらいゆ？,ないぬどぅ　池間ん　みーらいゆーい。
76,116,波,nami.jpeg,utt-medial,out-of-focus,カニさんは波を見ましたか？,いいえ、マサイさんが波を見ましたよ。,comparison,カニがどぅ　なんぬ　みーたいな？,あらん。マサイがどぅ　なんぬ　みーたいよ。
61,117,苗,nae.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きい苗を見ましたよ。,comparison,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーないゆどぅ　みーたいよ。
151,118,月,moon.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きい月を見ましたよ。,filler,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーつっちゅーどぅ　みーたいよ。
92,119,藻,algae.jpeg,phrase-medial,out-of-focus,カニさんは大きい藻を見ましたか？,いいえ、マサイさんが大きい藻を見ましたよ。,comparison,カニがどぅ　がばーむーゆ　みーたいな？,あらん。マサイがどぅ　がばーむーゆ　みーたいよ。
